nome,criado_em,atualizado_em,estrelas,linguagem,prs_merged,releases,issues_total,issues_fechadas,idade_dias,dias_desde_atualizacao,razao_issues_fechadas
date-fns/date-fns,2014-10-06T10:24:22Z,2026-03-05T12:00:09Z,36499,TypeScript,1068,122,2038,1382,4168,0,0.6781
duckdb/duckdb,2018-06-26T15:04:45Z,2026-03-06T02:05:57Z,36458,C++,9604,56,6589,6048,2809,-1,0.9179
huggingface/pytorch-image-models,2019-02-02T05:51:12Z,2026-03-05T21:30:30Z,36445,Python,523,75,1026,978,2588,0,0.9532
karpathy/LLM101n,2024-05-27T00:23:38Z,2026-03-06T01:53:07Z,36417,,0,0,0,0,647,-1,
chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,2026-03-06T00:57:15Z,36403,Python,1,0,419,365,1047,-1,0.8711
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2026-03-05T12:40:15Z,36398,HTML,14,0,69,15,3043,0,0.2174
DavidHDev/react-bits,2024-08-06T06:54:54Z,2026-03-06T02:04:05Z,36396,JavaScript,155,0,477,471,576,-1,0.9874
typeorm/typeorm,2016-02-29T07:41:14Z,2026-03-05T22:33:26Z,36365,TypeScript,2387,40,8557,8132,3657,0,0.9503
SheetJS/sheetjs,2012-12-03T19:25:52Z,2026-03-05T20:32:11Z,36203,,106,0,2386,2267,4840,0,0.9501
hankcs/HanLP,2014-10-09T06:36:16Z,2026-03-06T00:00:03Z,36169,Python,79,62,1434,1426,4165,-1,0.9944
slatedocs/slate,2013-09-13T22:15:24Z,2026-03-05T18:22:15Z,36158,,298,28,609,559,4556,0,0.9179
formulahendry/955.WLB,2019-03-27T23:53:37Z,2026-03-05T08:06:38Z,36140,,18,0,263,81,2534,0,0.308
juanfont/headscale,2020-06-21T09:21:05Z,2026-03-05T23:35:57Z,36139,Go,1232,132,1235,1158,2083,-1,0.9377
666ghj/BettaFish,2024-07-01T13:11:38Z,2026-03-06T02:14:23Z,36089,Python,105,6,391,374,612,-1,0.9565
lerna/lerna,2015-12-04T09:36:55Z,2026-03-05T09:41:55Z,36089,TypeScript,1021,249,2693,2313,3744,0,0.8589
myshell-ai/OpenVoice,2023-11-29T12:17:01Z,2026-03-06T01:25:54Z,36042,Python,18,0,348,73,827,-1,0.2098
geekxh/hello-algorithm,2020-05-29T05:47:09Z,2026-03-05T15:11:37Z,36017,Java,26,0,44,33,2106,0,0.75
XingangPan/DragGAN,2023-05-18T10:08:02Z,2026-03-05T08:37:01Z,35973,Python,18,0,192,46,1022,0,0.2396
carbon-app/carbon,2017-06-16T02:50:28Z,2026-03-05T16:50:47Z,35966,JavaScript,669,215,690,627,3184,0,0.9087
aseprite/aseprite,2014-08-19T23:44:50Z,2026-03-06T00:37:37Z,35941,C++,482,123,4482,2640,4215,-1,0.589
opentofu/manifesto,2023-08-13T16:17:24Z,2026-03-06T01:45:39Z,35892,HTML,765,0,26,14,935,-1,0.5385
servo/servo,2012-02-08T19:07:25Z,2026-03-06T01:34:24Z,35888,Rust,23073,5,15219,12335,5139,-1,0.8105
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,2026-03-05T23:48:28Z,35821,C++,4120,0,17275,14820,5143,-1,0.8579
deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,2026-03-06T01:56:26Z,35794,,289,0,156,154,784,-1,0.9872
ShareX/ShareX,2013-10-08T23:32:10Z,2026-03-06T01:19:50Z,35782,C#,774,85,7177,6611,4530,-1,0.9211
reworkd/AgentGPT,2023-04-07T02:29:19Z,2026-03-06T01:19:15Z,35772,TypeScript,541,12,469,337,1063,-1,0.7186
fastify/fastify,2016-09-28T19:10:14Z,2026-03-05T22:37:24Z,35752,JavaScript,3263,308,2146,2070,3445,0,0.9646
koajs/koa,2013-07-20T18:53:45Z,2026-03-05T14:03:56Z,35738,JavaScript,541,16,932,914,4611,0,0.9807
doocs/leetcode,2018-09-16T14:03:03Z,2026-03-05T23:49:13Z,35728,Java,4462,21,58,58,2727,-1,1.0
mattermost/mattermost,2015-06-15T06:50:02Z,2026-03-06T02:05:33Z,35678,TypeScript,20535,936,9194,8657,3916,-1,0.9416
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,2026-03-06T02:06:13Z,35654,Java,73,54,742,739,1866,-1,0.996
jondot/awesome-react-native,2015-03-26T19:58:06Z,2026-03-05T14:25:13Z,35620,JavaScript,912,0,75,37,3997,0,0.4933
jaywcjlove/linux-command,2016-11-12T15:44:26Z,2026-03-05T13:20:23Z,35611,Markdown,370,32,209,133,3400,0,0.6364
XTLS/Xray-core,2020-11-09T11:23:10Z,2026-03-06T02:07:30Z,35599,Go,1205,106,2778,2753,1942,-1,0.991
veggiemonk/awesome-docker,2014-09-21T17:01:48Z,2026-03-06T01:50:49Z,35596,Makefile,991,1,142,136,4183,-1,0.9577
airbnb/lottie-android,2016-10-06T22:42:42Z,2026-03-05T22:52:33Z,35588,Java,720,63,1800,1752,3437,0,0.9733
junegunn/vim-plug,2013-09-10T14:58:51Z,2026-03-05T22:47:20Z,35579,Vim Script,179,8,1041,972,4559,0,0.9337
amruthpillai/reactive-resume,2020-03-25T14:08:22Z,2026-03-06T01:31:31Z,35577,TypeScript,729,110,1846,1799,2171,-1,0.9745
umami-software/umami,2020-07-17T07:59:00Z,2026-03-06T01:39:43Z,35538,TypeScript,871,106,2074,1979,2057,-1,0.9542
xyflow/xyflow,2019-07-15T14:47:30Z,2026-03-06T00:44:54Z,35502,TypeScript,1468,369,2366,2274,2425,-1,0.9611
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,2026-03-06T00:12:16Z,35488,JavaScript,327,109,4152,4043,4549,-1,0.9737
ueberdosis/tiptap,2018-08-20T19:58:58Z,2026-03-05T19:08:16Z,35461,TypeScript,1504,950,3524,2713,2754,0,0.7699
vadimdemedes/ink,2017-06-12T06:12:28Z,2026-03-06T01:21:19Z,35382,TypeScript,290,72,409,394,3188,-1,0.9633
nativefier/nativefier,2015-07-05T05:56:42Z,2026-03-04T22:17:51Z,35355,TypeScript,261,99,1237,982,3896,1,0.7939
solidjs/solid,2018-04-24T16:36:27Z,2026-03-05T20:45:11Z,35290,TypeScript,395,36,1122,1024,2872,0,0.9127
sahat/hackathon-starter,2013-11-13T17:24:12Z,2026-03-06T01:39:16Z,35211,JavaScript,451,18,717,716,4495,-1,0.9986
hashicorp/vault,2015-02-25T00:15:59Z,2026-03-06T01:27:28Z,35164,Go,21325,176,6504,5289,4026,-1,0.8132
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,2026-03-05T08:30:14Z,35161,Go,592,0,0,0,4729,0,
DioxusLabs/dioxus,2021-01-15T01:57:26Z,2026-03-06T02:10:08Z,35122,Rust,1969,33,2447,1853,1875,-1,0.7573
bumptech/glide,2013-07-08T22:52:33Z,2026-03-05T20:23:36Z,35034,Java,605,54,4517,3935,4623,0,0.8712
jax-ml/jax,2018-10-25T21:25:02Z,2026-03-06T01:26:07Z,35008,Python,17779,134,6875,5192,2688,-1,0.7552
LizardByte/Sunshine,2021-12-15T23:38:57Z,2026-03-06T01:08:41Z,34969,C++,1724,45,1183,1108,1540,-1,0.9366
