nome,criado_em,atualizado_em,estrelas,linguagem,prs_merged,releases,issues_total,issues_fechadas,idade_dias,dias_desde_atualizacao,razao_issues_fechadas
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,2026-03-05T05:47:27Z,33690,Objective-C,710,40,0,0,5392,0,
lllyasviel/ControlNet,2023-02-01T02:43:30Z,2026-03-05T19:06:09Z,33690,Python,5,0,574,138,1128,0,0.2404
filebrowser/filebrowser,2015-09-11T21:21:58Z,2026-03-06T01:52:35Z,33669,Go,761,129,2897,2866,3828,-1,0.9893
ZuodaoTech/everyone-can-use-english,2019-03-15T16:33:53Z,2026-03-05T17:57:16Z,33665,TypeScript,462,48,470,376,2547,0,0.8
carbon-language/carbon-lang,2020-04-27T21:45:16Z,2026-03-05T23:36:29Z,33635,C++,5034,606,794,617,2138,-1,0.7771
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,2026-03-05T13:26:12Z,33627,Python,70,2,0,0,5067,0,
sxyazi/yazi,2023-07-08T11:45:55Z,2026-03-06T02:12:06Z,33494,Rust,1130,30,1695,1651,971,-1,0.974
XX-net/XX-Net,2015-01-15T09:35:51Z,2026-03-05T22:34:27Z,33450,Python,363,390,13340,5418,4067,0,0.4061
lib-pku/libpku,2018-11-22T13:33:06Z,2026-03-05T15:54:40Z,33356,TeX,22,0,43,32,2660,0,0.7442
v2fly/v2ray-core,2019-04-15T10:05:54Z,2026-03-06T01:43:39Z,33338,Go,978,121,1078,1054,2516,-1,0.9777
IceWhaleTech/CasaOS,2021-09-26T02:33:09Z,2026-03-06T01:54:17Z,33333,Go,275,97,1676,897,1621,-1,0.5352
explosion/spaCy,2014-07-03T15:15:40Z,2026-03-05T18:18:35Z,33282,Python,3598,133,5742,5585,4263,0,0.9727
swc-project/swc,2017-12-22T11:40:14Z,2026-03-05T22:58:12Z,33277,Rust,5893,780,4111,3736,2995,0,0.9088
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,2026-03-05T23:04:23Z,33269,Ruby,197,0,70,52,4258,0,0.7429
balena-io/etcher,2015-10-27T16:53:23Z,2026-03-06T00:42:02Z,33230,TypeScript,1731,289,2461,1850,3782,-1,0.7517
pcottle/learnGitBranching,2012-08-13T22:36:09Z,2026-03-06T00:36:50Z,33194,JavaScript,650,0,531,478,4952,-1,0.9002
keycloak/keycloak,2013-07-02T13:38:51Z,2026-03-06T01:53:57Z,33159,Java,19240,102,17589,15322,4629,-1,0.8711
khoj-ai/khoj,2021-08-16T01:48:44Z,2026-03-06T02:16:18Z,33159,Python,486,170,568,487,1662,-1,0.8574
bilibili/ijkplayer,2013-06-03T04:12:04Z,2026-03-05T12:23:05Z,33127,C,35,0,5384,2547,4658,0,0.4731
drizzle-team/drizzle-orm,2021-06-24T09:03:05Z,2026-03-05T22:10:38Z,33123,TypeScript,660,170,3466,2240,1715,0,0.6463
utmapp/UTM,2019-04-12T16:09:24Z,2026-03-06T02:09:44Z,33115,Swift,277,128,3585,2610,2519,-1,0.728
awesome-foss/awesome-sysadmin,2014-12-23T08:41:22Z,2026-03-06T00:53:59Z,33114,,342,0,105,90,4090,-1,0.8571
adobe/brackets,2011-12-07T21:14:40Z,2026-03-05T08:17:47Z,33105,JavaScript,4332,69,9683,7066,5202,0,0.7297
immutable-js/immutable-js,2014-07-02T06:02:29Z,2026-03-05T23:05:21Z,33098,TypeScript,621,92,1267,1171,4264,0,0.9242
mckaywrigley/chatbot-ui,2023-03-11T14:53:14Z,2026-03-06T01:38:25Z,33073,TypeScript,281,0,1001,817,1090,-1,0.8162
thedotmack/claude-mem,2025-08-31T20:50:03Z,2026-03-06T02:11:29Z,33061,TypeScript,211,209,665,623,186,-1,0.9368
gulpjs/gulp,2013-07-04T05:26:06Z,2026-03-05T12:37:01Z,33008,JavaScript,412,24,1937,1907,4627,0,0.9845
TabbyML/tabby,2023-03-16T09:18:01Z,2026-03-06T00:46:09Z,32983,Rust,3001,249,991,753,1085,-1,0.7598
derailed/k9s,2019-01-25T18:46:02Z,2026-03-06T00:49:43Z,32976,Go,963,257,2284,2087,2596,-1,0.9137
wailsapp/wails,2018-12-15T23:14:06Z,2026-03-06T02:05:53Z,32966,Go,1690,292,2321,2092,2637,-1,0.9013
SerenityOS/serenity,2018-12-02T19:28:41Z,2026-03-06T00:28:53Z,32965,C++,19924,0,4293,3572,2650,-1,0.8321
huggingface/diffusers,2022-05-30T16:04:02Z,2026-03-05T18:23:47Z,32934,Python,5519,89,5235,4632,1375,0,0.8848
AdguardTeam/AdGuardHome,2016-07-06T10:31:47Z,2026-03-06T01:25:24Z,32918,Go,125,229,5920,4698,3529,-1,0.7936
GyulyVGC/sniffnet,2022-07-31T21:55:56Z,2026-03-06T01:22:44Z,32916,Rust,480,16,314,267,1313,-1,0.8503
shadowsocks/ShadowsocksX-NG,2016-06-10T11:49:00Z,2026-03-05T13:55:47Z,32905,Swift,64,30,1360,1051,3555,0,0.7728
aquasecurity/trivy,2019-04-11T01:01:07Z,2026-03-06T02:04:56Z,32895,Go,3497,85,3032,2867,2520,-1,0.9456
certbot/certbot,2014-11-12T02:52:20Z,2026-03-06T01:55:32Z,32885,Python,4078,68,5522,5390,4131,-1,0.9761
ocrmypdf/OCRmyPDF,2013-12-20T08:26:28Z,2026-03-06T01:33:13Z,32842,Python,169,52,1322,1185,4458,-1,0.8964
firecracker-microvm/firecracker,2017-10-19T06:18:47Z,2026-03-06T01:34:39Z,32836,Rust,3427,84,1485,1435,3059,-1,0.9663
nothings/stb,2014-05-25T16:51:23Z,2026-03-06T01:37:48Z,32827,C,291,0,936,716,4302,-1,0.765
fish-shell/fish-shell,2012-05-10T03:00:55Z,2026-03-06T00:38:22Z,32818,Rust,2192,62,8014,7522,5047,-1,0.9386
ibraheemdev/modern-unix,2021-01-12T00:50:14Z,2026-03-05T21:34:46Z,32807,,15,0,84,30,1878,0,0.3571
zeromicro/go-zero,2020-08-07T15:37:57Z,2026-03-05T22:52:51Z,32759,Go,2435,149,1956,1787,2036,0,0.9136
backstage/backstage,2020-01-24T22:39:49Z,2026-03-06T01:15:03Z,32744,TypeScript,20357,496,7478,7178,2232,-1,0.9599
openai/CLIP,2020-12-16T11:24:42Z,2026-03-06T02:08:41Z,32710,Jupyter Notebook,29,0,442,192,1905,-1,0.4344
chen08209/FlClash,2023-08-15T07:47:22Z,2026-03-06T02:06:58Z,32708,Dart,2,102,1611,1001,933,-1,0.6214
google/comprehensive-rust,2022-12-21T15:17:24Z,2026-03-05T23:10:08Z,32693,Rust,2402,0,362,242,1170,0,0.6685
alibaba/nacos,2018-06-15T06:49:27Z,2026-03-06T02:09:00Z,32690,Java,3335,88,9489,9280,2820,-1,0.978
mli/paper-reading,2021-10-22T06:34:51Z,2026-03-06T00:11:14Z,32636,,15,0,0,0,1595,-1,
qier222/YesPlayMusic,2020-10-09T10:04:21Z,2026-03-05T21:34:03Z,32626,Vue,292,32,1834,1200,1973,0,0.6543
anthropics/prompt-eng-interactive-tutorial,2024-04-02T15:52:00Z,2026-03-06T02:09:51Z,32610,Jupyter Notebook,1,0,35,4,702,-1,0.1143
binarywang/WxJava,2016-01-06T08:24:05Z,2026-03-05T16:31:17Z,32600,Java,1182,31,2455,2448,3711,0,0.9971
MonitorControl/MonitorControl,2017-09-16T21:13:40Z,2026-03-06T02:03:22Z,32585,Swift,220,26,1010,994,3092,-1,0.9842
stanfordnlp/dspy,2023-01-09T21:01:51Z,2026-03-06T01:09:36Z,32572,Python,1469,106,1512,1235,1151,-1,0.8168
lutzroeder/netron,2010-12-26T12:53:43Z,2026-03-05T23:26:03Z,32526,JavaScript,1,4,1253,1236,5548,-1,0.9864
restic/restic,2014-04-27T14:07:58Z,2026-03-06T01:34:53Z,32521,Go,2318,49,2915,2469,4330,-1,0.847
block/goose,2024-08-23T19:03:36Z,2026-03-06T01:57:47Z,32480,Rust,4287,122,1807,1513,559,-1,0.8373
remix-run/remix,2020-10-26T19:57:28Z,2026-03-06T01:37:22Z,32472,TypeScript,3662,357,2694,2659,1956,-1,0.987
floating-ui/floating-ui,2016-03-29T17:00:47Z,2026-03-05T18:23:09Z,32468,TypeScript,1209,506,1477,1443,3628,0,0.977
yewstack/yew,2017-12-16T14:19:02Z,2026-03-06T01:29:28Z,32454,Rust,1879,38,1268,1172,3001,-1,0.9243
open-mmlab/mmdetection,2018-08-22T07:06:06Z,2026-03-05T21:30:32Z,32438,Python,2358,53,8523,6753,2752,0,0.7923
beego/beego,2012-02-29T02:32:08Z,2026-03-05T11:16:43Z,32426,Go,1326,42,3381,3379,5118,0,0.9994
ziadoz/awesome-php,2013-11-26T03:14:19Z,2026-03-06T00:06:47Z,32403,,457,0,155,153,4482,-1,0.9871
cursor/cursor,2023-03-12T00:19:42Z,2026-03-06T00:37:13Z,32379,,47,0,0,0,1089,-1,
glanceapp/glance,2024-04-27T18:55:38Z,2026-03-06T02:02:19Z,32375,Go,110,33,506,293,677,-1,0.5791
k3s-io/k3s,2018-05-31T01:37:46Z,2026-03-05T22:23:29Z,32356,Go,4461,957,7379,7279,2835,0,0.9864
vercel/swr,2019-10-28T18:16:01Z,2026-03-06T01:00:51Z,32328,TypeScript,816,126,973,831,2320,-1,0.8541
lizongying/my-tv,2023-12-04T12:18:39Z,2026-03-06T00:00:05Z,32249,C,11,72,921,777,822,-1,0.8436
medusajs/medusa,2020-01-18T13:39:04Z,2026-03-05T23:52:11Z,32232,TypeScript,8409,146,3660,3591,2238,-1,0.9811
google/material-design-lite,2015-01-14T22:01:33Z,2026-03-05T20:32:07Z,32216,HTML,655,14,2204,1814,4068,0,0.823
0xAX/linux-insides,2015-01-03T18:44:57Z,2026-03-05T20:32:01Z,32214,Python,619,0,191,168,4079,0,0.8796
labstack/echo,2015-03-01T17:43:01Z,2026-03-05T17:28:25Z,32210,Go,629,116,1489,1441,4022,0,0.9678
yunjey/pytorch-tutorial,2017-03-10T07:41:47Z,2026-03-06T02:10:49Z,32209,Python,28,0,180,114,3282,-1,0.6333
Lissy93/web-check,2023-06-25T14:32:11Z,2026-03-06T02:00:57Z,32203,TypeScript,53,1,136,65,984,-1,0.4779
datalab-to/marker,2023-10-30T20:14:08Z,2026-03-06T02:17:11Z,32191,Python,228,71,650,324,857,-1,0.4985
facebookresearch/fairseq,2017-08-29T16:26:12Z,2026-03-06T00:57:54Z,32179,Python,236,16,4260,3060,3110,-1,0.7183
The-Run-Philosophy-Organization/run,2022-04-10T05:42:40Z,2026-03-05T16:53:29Z,32144,,172,0,261,216,1425,0,0.8276
linera-io/linera-protocol,2021-12-19T04:09:21Z,2026-03-06T00:53:22Z,32135,Rust,3548,31,1444,903,1537,-1,0.6253
apache/kafka,2011-08-15T18:06:16Z,2026-03-06T00:17:21Z,32111,Java,12775,0,0,0,5316,-1,
frappe/erpnext,2011-06-08T08:20:56Z,2026-03-06T01:52:03Z,32086,Python,28711,1000,17753,15805,5384,-1,0.8903
PDFMathTranslate/PDFMathTranslate,2024-09-06T06:56:03Z,2026-03-06T00:53:34Z,32048,Python,136,24,857,732,545,-1,0.8541
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,2026-03-06T00:23:22Z,32040,,3,0,74,26,1888,-1,0.3514
cockroachdb/cockroach,2014-02-06T00:18:47Z,2026-03-06T02:15:36Z,31995,Go,72807,0,82373,75731,4410,-1,0.9194
lovell/sharp,2013-08-19T20:24:24Z,2026-03-06T00:18:29Z,31980,JavaScript,311,107,4030,3912,4581,-1,0.9707
linexjlin/GPTs,2023-11-11T03:24:16Z,2026-03-06T01:21:24Z,31973,,45,0,31,21,845,-1,0.6774
NginxProxyManager/nginx-proxy-manager,2017-12-20T23:01:16Z,2026-03-06T01:48:42Z,31972,TypeScript,683,86,3189,2344,2997,-1,0.735
nicolargo/glances,2011-12-04T08:49:15Z,2026-03-06T01:52:15Z,31946,Python,772,55,2161,2030,5205,-1,0.9394
hasura/graphql-engine,2018-06-18T07:57:36Z,2026-03-05T19:22:12Z,31913,TypeScript,2110,300,6409,4165,2817,0,0.6499
PostHog/posthog,2020-01-23T22:46:58Z,2026-03-06T02:06:37Z,31899,Python,34584,84,9091,6360,2233,-1,0.6996
dokku/dokku,2013-06-08T10:26:57Z,2026-03-05T23:18:01Z,31892,Shell,4511,317,2844,2817,4653,-1,0.9905
casey/just,2016-06-17T06:08:08Z,2026-03-06T02:14:30Z,31857,Rust,1370,131,1350,1005,3548,-1,0.7444
KeygraphHQ/shannon,2025-09-27T01:51:47Z,2026-03-06T02:16:43Z,31847,TypeScript,58,0,76,67,159,-1,0.8816
Trinea/android-open-project,2014-01-05T15:20:15Z,2026-03-05T05:11:41Z,31840,,204,0,87,75,4442,0,0.8621
niklasvh/html2canvas,2011-07-16T01:05:58Z,2026-03-05T15:41:27Z,31808,TypeScript,186,45,2633,1664,5346,0,0.632
Chanzhaoyu/chatgpt-web,2023-02-09T03:21:37Z,2026-03-05T13:48:00Z,31807,Vue,159,43,1746,1746,1120,0,1.0
microsoft/MS-DOS,2018-06-25T18:26:02Z,2026-03-05T13:42:03Z,31762,Assembly,37,0,0,0,2810,0,
valinet/ExplorerPatcher,2021-08-09T14:17:24Z,2026-03-06T01:06:05Z,31760,C,19,296,2660,2358,1669,-1,0.8865
airbnb/lottie-web,2015-02-20T21:02:59Z,2026-03-05T18:52:12Z,31731,JavaScript,136,0,2908,2128,4031,0,0.7318
amix/vimrc,2012-05-29T16:19:29Z,2026-03-06T01:51:59Z,31717,Vim Script,107,0,523,510,5028,-1,0.9751
kovidgoyal/kitty,2016-10-16T14:48:28Z,2026-03-06T02:15:51Z,31668,Python,1244,132,6662,6653,3427,-1,0.9986
vbenjs/vue-vben-admin,2020-07-11T02:29:21Z,2026-03-05T15:56:00Z,31663,Vue,1748,61,3900,3822,2063,0,0.98
continuedev/continue,2023-05-24T03:39:39Z,2026-03-06T01:54:20Z,31659,TypeScript,3891,803,5539,4505,1016,-1,0.8133
ReactiveX/rxjs,2015-03-15T06:17:10Z,2026-03-05T15:25:18Z,31653,TypeScript,2588,2,3165,2942,4008,0,0.9295
facebook/rocksdb,2012-11-30T06:16:18Z,2026-03-06T00:02:33Z,31598,C++,620,212,3501,2650,4843,-1,0.7569
codex-team/editor.js,2015-11-28T20:56:35Z,2026-03-05T22:40:50Z,31588,TypeScript,870,107,1540,937,3750,0,0.6084
ianstormtaylor/slate,2016-06-18T01:52:42Z,2026-03-05T23:18:02Z,31579,TypeScript,1980,210,3228,2548,3547,-1,0.7893
shardeum/shardeum,2024-04-16T22:37:25Z,2026-03-05T23:15:37Z,31567,TypeScript,326,0,40,35,688,0,0.875
numpy/numpy,2010-09-13T23:02:39Z,2026-03-06T02:11:20Z,31563,Python,13919,139,13822,11725,5652,-1,0.8483
kubernetes/minikube,2016-04-15T22:38:35Z,2026-03-06T00:40:11Z,31555,Go,9396,154,10452,9937,3611,-1,0.9507
tinygrad/tinygrad,2020-10-18T16:23:12Z,2026-03-06T01:10:18Z,31496,Python,10523,14,1083,959,1964,-1,0.8855
conductor-oss/conductor,2023-12-08T06:06:09Z,2026-03-06T00:28:07Z,31490,Java,340,33,241,143,818,-1,0.5934
OWASP/CheatSheetSeries,2018-12-21T14:26:43Z,2026-03-06T00:24:39Z,31484,Python,1198,0,630,580,2631,-1,0.9206
surrealdb/surrealdb,2021-12-09T15:03:29Z,2026-03-05T23:05:34Z,31443,Rust,2605,121,2383,1786,1547,0,0.7495
koala73/worldmonitor,2026-01-08T17:26:06Z,2026-03-06T02:16:48Z,31405,TypeScript,663,43,207,141,56,-1,0.6812
OpenBMB/ChatDev,2023-08-28T02:18:13Z,2026-03-06T01:26:20Z,31401,Python,136,11,303,269,920,-1,0.8878
raysan5/raylib,2013-10-24T15:46:04Z,2026-03-05T18:34:25Z,31391,C,2448,24,2128,2128,4515,0,1.0
tokio-rs/tokio,2016-09-09T22:31:36Z,2026-03-06T00:57:24Z,31369,Rust,3802,141,2616,2291,3464,-1,0.8758
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,2026-03-06T02:04:22Z,31363,Python,19,1,195,33,432,-1,0.1692
influxdata/influxdb,2013-09-26T14:31:10Z,2026-03-05T21:41:17Z,31353,Rust,10939,95,14169,12121,4543,0,0.8555
coolsnowwolf/lede,2017-09-06T07:39:03Z,2026-03-05T12:23:29Z,31334,C,2051,7,9324,8506,3102,0,0.9123
Dokploy/dokploy,2024-04-19T07:49:30Z,2026-03-06T02:15:09Z,31333,TypeScript,1329,147,1659,1256,685,-1,0.7571
ItzCrazyKns/Perplexica,2024-04-09T10:51:32Z,2026-03-06T02:16:36Z,31320,TypeScript,82,33,613,433,695,-1,0.7064
MHSanaei/3x-ui,2023-02-09T19:16:57Z,2026-03-06T02:15:30Z,31305,HTML,642,102,2685,2275,1120,-1,0.8473
microsoft/WSL,2016-04-06T17:32:56Z,2026-03-06T01:06:10Z,31278,C++,543,97,12068,11149,3620,-1,0.9238
alpinejs/alpine,2019-11-28T13:51:55Z,2026-03-05T13:30:59Z,31278,HTML,694,146,613,613,2289,0,1.0
mathiasbynens/dotfiles,2011-09-05T18:07:54Z,2026-03-05T15:33:54Z,31256,Shell,44,0,393,255,5295,0,0.6489
microsoft/graphrag,2024-03-27T17:57:52Z,2026-03-06T02:14:51Z,31254,Python,720,35,801,772,708,-1,0.9638
patchy631/ai-engineering-hub,2024-10-21T10:43:24Z,2026-03-06T02:11:52Z,31225,Jupyter Notebook,62,0,44,14,500,-1,0.3182
donnemartin/interactive-coding-challenges,2015-04-28T21:36:39Z,2026-03-05T18:22:39Z,31210,Python,176,0,69,32,3964,0,0.4638
parallax/jsPDF,2009-12-06T14:56:32Z,2026-03-05T19:03:42Z,31165,JavaScript,753,41,2586,2482,5933,0,0.9598
motiondivision/motion,2018-11-16T09:48:38Z,2026-03-05T20:32:58Z,31130,TypeScript,1176,0,1917,1718,2666,0,0.8962
mqyqingfeng/Blog,2017-03-13T10:04:33Z,2026-03-05T08:41:50Z,31121,,3,0,399,101,3279,0,0.2531
SagerNet/sing-box,2022-06-30T13:27:22Z,2026-03-06T01:23:16Z,31110,Go,191,499,2952,2791,1344,-1,0.9455
DevToys-app/DevToys,2021-09-29T01:40:41Z,2026-03-06T00:52:16Z,31043,C#,501,39,979,664,1618,-1,0.6782
docsifyjs/docsify,2016-11-20T07:55:43Z,2026-03-05T14:57:25Z,31029,JavaScript,782,16,1311,1230,3392,0,0.9382
SortableJS/Sortable,2013-12-19T10:10:13Z,2026-03-05T20:29:05Z,31020,JavaScript,248,31,1825,1346,4459,0,0.7375
tqdm/tqdm,2015-06-03T13:13:14Z,2026-03-06T00:59:06Z,31003,Python,289,133,1039,594,3928,-1,0.5717
fabricjs/fabric.js,2010-06-09T22:24:38Z,2026-03-05T23:16:39Z,30980,TypeScript,2427,181,6205,5780,5748,0,0.9315
symfony/symfony,2010-01-04T14:21:21Z,2026-03-06T01:02:08Z,30965,PHP,25574,600,21780,21417,5904,-1,0.9833
pear-devs/pear-desktop,2019-04-19T18:14:40Z,2026-03-05T23:50:41Z,30958,TypeScript,1630,87,1958,1380,2512,-1,0.7048
eriklindernoren/ML-From-Scratch,2017-02-05T12:11:23Z,2026-03-06T02:04:56Z,30953,Python,9,0,78,37,3315,-1,0.4744
OAI/OpenAPI-Specification,2014-03-03T16:53:36Z,2026-03-05T14:03:05Z,30939,Markdown,1793,14,2410,2307,4385,0,0.9573
iawia002/lux,2018-02-24T11:29:03Z,2026-03-05T16:50:22Z,30927,Go,304,86,1073,548,2931,0,0.5107
containers/podman,2017-11-01T15:01:27Z,2026-03-06T01:25:42Z,30907,Go,12211,236,10468,9557,3046,-1,0.913
Lightning-AI/pytorch-lightning,2019-03-31T00:45:57Z,2026-03-05T17:04:41Z,30902,Python,9336,172,7497,6660,2531,0,0.8884
ascoders/weekly,2017-03-20T06:10:04Z,2026-03-06T01:59:01Z,30886,JavaScript,136,193,370,366,3272,-1,0.9892
microsoft/calculator,2019-01-28T17:55:49Z,2026-03-05T23:56:12Z,30863,C++,913,0,1147,728,2593,-1,0.6347
alibaba/p3c,2017-06-23T06:15:51Z,2026-03-05T13:40:43Z,30830,Kotlin,62,0,859,698,3177,0,0.8126
webtorrent/webtorrent,2013-10-15T08:16:40Z,2026-03-05T18:15:56Z,30817,JavaScript,970,229,1675,1607,4524,0,0.9594
blueimp/jQuery-File-Upload,2010-12-01T15:35:32Z,2026-03-05T21:33:29Z,30808,PHP,119,0,3305,3256,5573,0,0.9852
AMAI-GmbH/AI-Expert-Roadmap,2020-10-24T21:49:40Z,2026-03-06T00:47:40Z,30778,JavaScript,14,0,70,54,1958,-1,0.7714
seaweedfs/seaweedfs,2014-07-14T16:41:37Z,2026-03-06T02:15:50Z,30767,Go,3671,289,3532,2905,4252,-1,0.8225
mantinedev/mantine,2021-01-07T14:02:19Z,2026-03-06T02:12:08Z,30738,TypeScript,1591,291,3453,3427,1883,-1,0.9925
aristocratos/btop,2021-05-06T18:40:21Z,2026-03-06T01:37:04Z,30726,C++,372,54,904,481,1764,-1,0.5321
XIU2/TrackersListCollection,2019-10-03T15:55:07Z,2026-03-06T01:01:55Z,30719,,7,0,0,0,2345,-1,
transloadit/uppy,2015-11-16T12:32:33Z,2026-03-05T16:30:56Z,30663,TypeScript,3275,392,2520,2351,3762,0,0.9329
blakeblackshear/frigate,2019-01-26T13:52:38Z,2026-03-06T01:29:11Z,30653,TypeScript,3728,81,5882,5796,2595,-1,0.9854
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,2026-03-05T21:17:03Z,30646,Java,7,0,109,99,3407,0,0.9083
refined-github/refined-github,2016-02-15T16:45:02Z,2026-03-06T02:17:04Z,30614,TypeScript,3598,186,4695,4603,3671,-1,0.9804
iperov/DeepFaceLive,2020-12-15T12:19:22Z,2026-03-06T00:15:08Z,30592,Python,13,35,144,143,1906,-1,0.9931
s0md3v/roop,2023-05-28T14:37:54Z,2026-03-06T01:40:42Z,30548,Python,82,6,0,0,1012,-1,
layui/layui,2015-09-22T08:12:03Z,2026-03-05T13:44:15Z,30537,JavaScript,673,173,1452,1398,3817,0,0.9628
dgtlmoon/changedetection.io,2021-01-27T16:03:30Z,2026-03-06T02:09:50Z,30453,Python,1053,203,1617,1327,1863,-1,0.8207
VSCodium/vscodium,2018-08-13T14:26:58Z,2026-03-05T22:35:17Z,30362,Shell,628,263,1639,1504,2761,0,0.9176
VincentGarreau/particles.js,2014-09-06T14:29:47Z,2026-03-06T01:03:55Z,30352,JavaScript,21,6,412,107,4198,-1,0.2597
sequelize/sequelize,2010-07-22T07:11:11Z,2026-03-05T22:44:12Z,30348,TypeScript,5021,489,10422,9520,5705,0,0.9135
wshobson/agents,2025-07-24T23:28:14Z,2026-03-06T01:45:36Z,30341,Python,53,0,59,53,223,-1,0.8983
chinabugotech/hutool,2014-04-13T07:23:51Z,2026-03-06T01:15:47Z,30338,Java,514,156,3091,3089,4344,-1,0.9994
trailofbits/algo,2016-05-15T03:42:48Z,2026-03-05T21:07:26Z,30324,Python,686,4,1650,1585,3581,0,0.9606
pmndrs/react-three-fiber,2019-02-25T14:31:51Z,2026-03-06T01:50:14Z,30320,TypeScript,690,131,1172,1166,2565,-1,0.9949
ValveSoftware/Proton,2018-03-13T18:45:27Z,2026-03-05T21:15:30Z,30318,C++,13,76,9024,4053,2914,0,0.4491
herrbischoff/awesome-macos-command-line,2015-09-22T19:37:55Z,2026-03-06T00:06:52Z,30315,,104,0,0,0,3817,-1,
Binaryify/NeteaseCloudMusicApi,2016-06-22T11:58:03Z,2026-03-04T13:06:21Z,30291,,292,0,1336,1189,3543,1,0.89
facebook/folly,2012-06-01T20:49:04Z,2026-03-06T01:22:26Z,30274,C++,13,280,1249,943,5025,-1,0.755
tatsu-lab/stanford_alpaca,2023-03-10T23:33:09Z,2026-03-06T01:15:35Z,30268,Python,6,0,268,98,1090,-1,0.3657
jobbole/awesome-python-cn,2015-11-03T09:50:50Z,2026-03-06T01:19:48Z,30255,Makefile,51,0,34,18,3775,-1,0.5294
joshbuchea/HEAD,2016-04-20T20:05:37Z,2026-03-05T00:14:00Z,30238,,87,0,93,73,3606,0,0.7849
cfenollosa/os-tutorial,2014-09-29T08:39:34Z,2026-03-05T22:29:45Z,30219,C,11,0,182,106,4175,0,0.5824
AvaloniaUI/Avalonia,2013-12-05T20:13:21Z,2026-03-05T23:53:44Z,30193,C#,5654,120,8315,6485,4473,-1,0.7799
waydabber/BetterDisplay,2021-10-24T08:32:56Z,2026-03-06T02:04:24Z,30180,,2,119,2988,2813,1593,-1,0.9414
spf13/viper,2014-04-02T14:33:33Z,2026-03-05T20:46:52Z,30156,Go,520,35,931,923,4355,0,0.9914
openai/openai-python,2020-10-25T23:23:54Z,2026-03-05T23:13:32Z,30153,Python,1053,369,1205,1042,1956,0,0.8647
cheeriojs/cheerio,2011-10-09T04:23:20Z,2026-03-06T00:15:16Z,30146,TypeScript,3121,62,1231,1210,5261,-1,0.9829
songquanpeng/one-api,2023-04-22T12:39:24Z,2026-03-06T02:14:12Z,30131,JavaScript,287,55,1797,896,1048,-1,0.4986
dragonflydb/dragonfly,2021-12-11T10:00:42Z,2026-03-06T01:00:58Z,30112,C++,3992,114,2118,1853,1545,-1,0.8749
telegramdesktop/tdesktop,2014-05-02T12:36:31Z,2026-03-06T00:54:24Z,30085,C++,1853,830,15777,14879,4325,-1,0.9431
grafana/k6,2016-03-21T15:30:24Z,2026-03-06T00:49:42Z,30050,Go,2457,85,2565,1835,3636,-1,0.7154
jumpserver/jumpserver,2014-07-04T03:54:59Z,2026-03-06T01:41:16Z,30039,Python,7871,264,7647,7580,4262,-1,0.9912
sunface/rust-course,2018-08-07T05:01:21Z,2026-03-06T01:37:00Z,30024,Rust,811,0,219,154,2767,-1,0.7032
xuxueli/xxl-job,2015-11-28T12:59:34Z,2026-03-05T13:40:46Z,29957,Java,124,42,3339,3164,3750,0,0.9476
StevenBlack/hosts,2012-04-12T20:22:50Z,2026-03-05T21:14:35Z,29952,Python,507,832,2204,2073,5075,0,0.9406
vercel/turborepo,2021-10-05T17:37:11Z,2026-03-06T02:15:07Z,29944,Rust,7170,680,2052,1943,1612,-1,0.9469
encode/django-rest-framework,2011-03-02T17:13:56Z,2026-03-06T01:03:57Z,29923,Python,3108,21,3946,3907,5482,-1,0.9901
kingToolbox/WindTerm,2019-10-09T19:56:09Z,2026-03-06T01:28:04Z,29922,C,1,32,2915,586,2339,-1,0.201
square/leakcanary,2015-04-29T23:54:16Z,2026-03-05T11:13:15Z,29905,Kotlin,933,43,1655,1514,3962,0,0.9148
AllThingsSmitty/css-protips,2015-08-29T12:29:03Z,2026-03-06T00:06:53Z,29898,,73,0,63,62,3841,-1,0.9841
ageron/handson-ml2,2019-01-08T03:49:07Z,2026-03-05T22:48:07Z,29896,Jupyter Notebook,65,0,518,304,2613,0,0.5869
google-research/tuning_playbook,2023-01-18T23:32:32Z,2026-03-06T02:13:48Z,29890,,14,0,45,34,1141,-1,0.7556
GoogleChrome/lighthouse,2016-03-08T01:03:11Z,2026-03-06T01:25:45Z,29884,JavaScript,5564,130,9257,8771,3649,-1,0.9475
apolloconfig/apollo,2016-03-04T10:24:23Z,2026-03-05T13:28:23Z,29782,Java,1498,42,3398,3258,3653,0,0.9588
hashicorp/consul,2013-11-04T22:15:27Z,2026-03-05T19:18:29Z,29771,Go,14140,256,5579,4285,4504,0,0.7681
foundation/foundation-sites,2011-10-13T23:05:42Z,2026-03-05T18:28:57Z,29764,HTML,2958,79,8240,8179,5257,0,0.9926
iced-rs/iced,2019-07-15T22:34:46Z,2026-03-06T01:26:07Z,29721,Rust,1161,18,1308,964,2425,-1,0.737
